cell-line	canonical_name	resource	Amelogenin	CSF1PO	D13S317	D16S539	D18S51	D19S433	D21S11	D2S1338	D3S1358	D5S818	D7S820	D8S1179	FGA	Penta	TH01	TPOX	vWA
Hs 344.T	Hs 344.T	ATCC:CRL-7246	X	"9,10"	"9,12"	"10,13"	0	0	0	0	0	11	"8,10"	0	0	0	"7,8"	8	"16,17"
																			
NCI-H1623	NCI-H1623	GNE:586453	X	9	12	"9,12"	14	0	"30.2,31.2"	0	18	12	8	"13,14"	"20,23"	E	7	11	"15,19,20"
																			
T-47D	T-47D	GNE:130742	X	"11,13"	12	10	17	0	"28,31"	0	"15,17"	12	11	13	23	E	6	11	14
																			
I 9.2	A3	ATCC:CRL-2571	X	"11,12"	"8,11"	11	0	0	0	0	0	9	"8,9.2"	0	0	0	"6,9.3"	"8,10"	18
																			
RWPE-1	RWPE-1	GNE:587124	"X,Y"	13	"8,14"	"9,11"	"14,16"	0	"29,31"	0	"15,16"	"12,15"	"10,11"	"10,14"	"24,25"	E	"8,9.3"	"8,11"	"14,18"
																			
928 MEL	928 mel	GNE:131257	X	12	12	14	12	0	"29,30"	0	"15,16"	11	"10,11"	"12,13"	19	E	"6,9.3"	8	"16,19"
																			
NCI-H1672	NCI-H1672	GNE:586471	"X,Y"	"10,11"	11	11	"13,14"	0	"29,32.2"	0	18	"11,13"	10	"11,14"	21	E	10	11	17
																			
TE-10	TE-10	RCB:2099	X	11	11	"9,11"	0	0	0	0	0	13	"8,10"	0	0	0	6	"8,11"	"14,18"
																			
HEC-151	HEC-151	GNE:586952	X	"7,11"	"8,13,14"	"9,11"	"13,23,24"	"13,14"	30	"19,20,24"	"14,15"	"10,13,14"	"8,11"	"12,13"	"19.1,22,23,24"	E	"6,9"	"8,11"	"14,19"
																			
HFL-I	HFL-I	RCB:0521	"X,Y"	"12,13"	"8,9"	"9,14"	0	0	0	0	0	12	11	0	0	0	"6,7"	"8,11"	"14,16"
																			
TGW	TGW	JCRB:0618	X	15	"8,11"	"9,13"	0	0	0	0	0	13	12	0	0	0	"6,7"	"10,11"	"14,18"
																			
Hs 890.Sk	Hs 890.Sk	ATCC:CRL-7627	"X,Y"	"11,13"	"8,9"	"11,12"	0	0	0	0	0	12	"9,11"	0	0	0	"7,8"	"9,12"	"17,19"
																			
HOKUG	HOKUG	RCB:0657	X	"10,12"	"8,11"	9	0	0	0	0	0	11	"8,11"	0	0	0	"6,9"	11	"17,18"
																			
ROS-50	ROS-50	DSM:ACC-557	"X,Y"	"11,12"	"8,13"	"8,12"	0	0	0	0	0	11	"10,11"	0	0	0	"6,9.3"	11	"17,18"
																			
COR-L88	COR-L88	GNE:586436	X	10	11	"11,12"	"16,17"	0	30	0	17	13	9	"9,13"	"19,20"	E	7	"8,10"	"14,17"
																			
OE21	OE21	GNE:586659	"X,Y"	"11,12"	12	"12,13"	19	15.2	"30,31"	"17,19"	17	"12,13"	"11,12"	12	20	E	8	"8,11"	"16,17"
																			
